,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,item_id,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9],model,learningtime,use_exo_rain,use_exo_evo,rmse,rmsse
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00061X0117/PZ1,2.864590880691364,137.20126342773438,1680.3699951171875,18.068494571152552,0.0369805887983243,39.89342653504759,0.0858273249800487,0.0809534647131478,694.8912821378685,168.9138605117798,0.8494623655913979,137.2012586593628,1.0,36.57589015960693,1.0,DeepAREstimator,294.77996134758,True,True,1.6925102306016837,28.01653586697012
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,00061X0117/PZ1,0.5291910479145665,58.42993927001953,1680.3699951171875,18.068494571152552,0.0369805887983243,16.989424379051496,0.0354762282422793,0.0355087480237407,129.73186693447653,40.30046958923341,0.3548387096774194,58.42994117736816,0.6236559139784946,16.231631088256833,0.8817204301075269,DeepAREstimator,291.8111960887909,True,False,0.7274551861898892,12.041743646215446
2,2.0,2.0,2.0,2.0,2.0,2.0,0.0,00061X0117/PZ1,4.226814844275034,175.2860870361328,1680.3699951171875,18.068494571152552,0.0369805887983243,50.967188355922815,0.1085978169595041,0.1016325284075993,1345.3541842905022,251.215305519104,0.956989247311828,175.28608989715576,1.0,41.28909587860107,1.0,DeepAREstimator,278.20115399360657,False,True,2.0559218964433046,34.03217806897183
3,3.0,3.0,3.0,3.0,3.0,3.0,0.0,00061X0117/PZ1,24.643462806619624,386.5250549316406,1680.3699951171875,18.068494571152552,0.0369805887983243,112.38824262717118,0.243353279688025,0.2063416716873005,3730.691942094457,620.7571912765503,0.8924731182795699,386.52499294281006,1.0,84.99202671051023,1.0,DeepAREstimator,290.646160364151,False,False,4.964218247279185,82.17391898831957
4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,00065X0148/P,0.3083697288267074,44.9141960144043,78.9699935913086,0.8491397160355763,0.0693800240628142,6.960913472783775,0.779613782000798,0.4719376102570564,63.58921967168114,31.71860014200211,0.6559139784946236,44.91419839859009,0.946236559139785,15.098181724548338,1.0,DeepAREstimator,278.06909132003784,True,True,0.5553104796658419,3.577620796801685
5,5.0,5.0,5.0,5.0,5.0,5.0,0.0,00065X0148/P,0.2140057471490675,36.91598510742188,78.9699935913086,0.8491397160355763,0.0693800240628142,5.7213309131243575,0.670915049891318,0.411651119109123,42.93960153163656,27.119860720634463,0.5376344086021505,36.915985226631165,0.913978494623656,12.048956716060635,1.0,DeepAREstimator,279.15247893333435,True,False,0.4626075519801503,2.9803766709348247
6,6.0,6.0,6.0,6.0,6.0,6.0,0.0,00065X0148/P,0.2835995458787487,44.82176208496094,78.9699935913086,0.8491397160355763,0.0693800240628142,6.9465878331887065,0.7765105873025874,0.4683321470855385,51.11326248582378,31.097078919410706,0.5913978494623656,44.82176226377487,0.967741935483871,13.987829065322872,1.0,DeepAREstimator,293.46736574172974,False,True,0.5325406518555638,3.430924826715429
7,7.0,7.0,7.0,7.0,7.0,7.0,0.0,00065X0148/P,0.5207448979859711,61.01458358764648,78.9699935913086,0.8491397160355763,0.0693800240628142,9.456191463281018,1.0439095445858535,0.5742508672898815,87.15305991224146,55.7447462439537,0.8709677419354839,61.01458448171616,0.946236559139785,17.758946204185477,1.0,DeepAREstimator,300.38282108306885,False,False,0.7216265640800449,4.649122063626198
8,8.0,8.0,8.0,8.0,8.0,8.0,0.0,00068X0010/F295,1.7125160463394655,106.25027465820312,2281.949951171875,24.537096249159948,0.0489304375998284,23.348985368518097,0.0470555828463646,0.0456242612613144,624.518611706031,149.02280807495114,0.935483870967742,106.25027465820312,1.0,25.90959892272949,1.0,DeepAREstimator,278.23403000831604,True,True,1.308631363807037,8.063753072680091
9,9.0,9.0,9.0,9.0,9.0,9.0,0.0,00068X0010/F295,3.6364244030367945,159.6478729248047,2281.949951171875,24.537096249159948,0.0489304375998284,35.08335259393617,0.0705281534502583,0.0737836232749364,926.9078998947076,38.90420913696288,0.0,159.6478729248047,0.0,224.4724536895752,0.0,DeepAREstimator,287.4689745903015,True,False,1.9069411115807413,11.750522471962247
